date,open,high,low,close,amount
2022-10-26,972.45,1010.98,963.36,1003.25,3743083.01
2022-10-27,1008.71,1021.56,995.55,1004.91,4138659.02
2022-10-28,996.61,1015.42,989.23,993.72,3895787.74
2022-10-31,991.89,1022.23,991.89,1010.33,4428040.8
2022-11-01,1011.96,1029.64,1000.97,1024.52,4028960.98
2022-11-02,1020.07,1046.82,1017.99,1037.18,4190214.74
2022-11-03,1028.43,1055.12,1027.04,1048.07,3759979.41
2022-11-04,1048.89,1077.49,1048.89,1072.87,3956616.15
2022-11-07,1070.14,1080.79,1058.13,1061.35,3562502.65
2022-11-08,1061.71,1062.72,1040.87,1051.71,2700419.87
2022-11-09,1049.72,1053.14,1036.95,1037.53,2343890.44
2022-11-10,1033.13,1044.72,1021.11,1023.06,2585425.45
2022-11-11,1053.86,1059.76,1023.26,1023.26,3424747.19
2022-11-14,1021.41,1031.71,1012.67,1022.91,3145272.08
2022-11-15,1022.04,1054.36,1021.14,1052.04,3946417.35
2022-11-16,1052.41,1054.34,1034.2,1036.49,2734881.84
2022-11-17,1029.31,1041.75,1015.05,1041.67,3066426.39
2022-11-18,1039.85,1045.95,1030.74,1031.99,3235674.88
2022-11-21,1023.9,1032.95,1020.06,1032.47,2516825.16
2022-11-22,1029.5,1030.37,1015.14,1017.82,3432003.48
2022-11-23,1014.74,1021.91,994.5,1017.02,3273035.85
2022-11-24,1019.18,1024.24,1013.48,1015.36,2879463.93
2022-11-25,1012.8,1012.8,999.84,999.99,2947828.54
2022-11-28,983.59,997.9,980.76,992.81,2983372.09
2022-11-29,995.34,1003.61,988.07,1002.45,3168636.2
2022-11-30,999.61,1003.73,991.49,1000.26,3077889.27
2022-12-01,1008.71,1017.01,1004.32,1009.33,3084518.41
2022-12-02,1005.63,1021.4,1005.16,1008.14,2948412.0
2022-12-05,1011.28,1011.29,999.49,1003.6,3925537.65
2022-12-06,1003.31,1014.33,999.52,1003.14,3842281.46
2022-12-07,999.28,1008.85,996.94,1000.47,3287630.14
2022-12-08,999.75,1005.88,995.88,997.31,3659584.09
2022-12-09,998.74,1004.36,992.63,1001.69,6088980.39
2022-12-12,1000.29,1011.76,996.23,1004.62,3903176.37
2022-12-13,1002.54,1004.21,989.18,989.31,3022278.31
2022-12-14,1003.57,1004.74,983.09,984.22,3266898.56
2022-12-15,985.15,992.97,979.53,989.2,2420035.4
2022-12-16,984.25,985.87,973.7,978.36,2680629.84
2022-12-19,973.6,980.47,954.02,956.19,2543419.26
2022-12-20,955.08,959.96,950.47,952.77,2250868.48
2022-12-21,950.56,954.62,937.52,940.84,1810951.66
2022-12-22,944.57,946.04,928.91,930.8,2121058.91
2022-12-23,925.14,930.06,915.35,920.35,2040232.47
2022-12-26,920.74,951.66,920.56,951.11,2553547.02
2022-12-27,951.86,965.49,947.17,963.14,2368372.43
2022-12-28,960.39,963.36,955.49,957.27,2007107.0
2022-12-29,956.1,970.57,954.74,962.25,1975230.02
2022-12-30,963.29,971.04,958.99,959.9,1795900.04
2023-01-03,960.51,982.24,956.7,979.91,2522453.77
2023-01-04,982.03,983.84,966.29,972.38,2321619.41
2023-01-05,972.61,985.82,969.32,983.52,2598134.94
2023-01-06,985.99,1003.05,984.02,991.1,3438375.31
2023-01-09,994.74,1000.07,986.17,988.67,2530880.59
2023-01-10,989.85,998.16,985.22,990.32,2124064.46
2023-01-11,990.15,993.47,973.56,973.96,2184618.19
2023-01-12,978.36,979.36,971.5,974.19,2229529.48
2023-01-13,976.58,977.06,967.11,974.31,2037772.39
2023-01-16,972.7,1000.27,971.9,992.61,3580937.41
2023-01-17,994.64,1006.59,993.45,1003.68,2423561.38
2023-01-18,1006.69,1009.87,1001.75,1006.75,1973210.23
2023-01-19,1004.79,1023.71,1004.08,1023.65,2243892.73
2023-01-20,1025.0,1034.59,1024.16,1029.14,2211790.06
